"scenario","year","transicion_label","age_inicial","age_final","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","p_value_est","p_value_se","data_source","consumo_anchoveta_kg","consumo_anchoveta_min","consumo_anchoveta_max","consumo_sardina_kg","consumo_sardina_min","consumo_sardina_max","consumo_otros_kg","consumo_otros_min","consumo_otros_max","prop_anchoveta","prop_sardina","prop_otros"
"T2015_1to2",2015,"1 → 2",1,2,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,0.694444294495586,0.0313377982240041,"específica",2.57171140672219,2.36731081330386,2.77611200014051,2.81402089856159,2.59036145526088,3.0376803418623,10.768233817343,9.91237052857006,11.624097106116,0.1592,0.1742,0.6666
"T2015_2to3",2015,"2 → 3",2,3,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,0.616919587666224,0.0286618247537622,"específica",5.80878879711774,5.37519129958591,6.24238629464958,11.365735667122,10.5173394325545,12.2141319016895,10.2023354603477,9.44078132589853,10.9638895947969,0.2122,0.4152,0.3727
"T2015_3to4",2015,"3 → 4",3,4,56.1905645401801,4.00764303883803,48.3357285211649,64.0454005591953,0.77649517573997,0.0490135015680326,"específica",17.604074016848,15.143213980995,20.064934052701,24.6316570574444,21.1884165659827,28.0748975489062,13.9548334658877,12.0040979741872,15.9055689575881,0.313292350075249,0.438359309236538,0.248348340688213
"T2015_4to5",2015,"4 → 5",4,5,67.8569297363694,1.180310334921,65.5435639893438,70.170295483395,0.692937968800001,0.0119445834419819,"histórica",8.04359301380207,7.76937234638554,8.3178136812186,37.1586306911899,35.8918256090657,38.425435773314,22.6547060313775,21.8823660338926,23.4270460288624,0.11853753249745,0.547602593214203,0.333859874288347
"T2016_1to2",2016,"1 → 2",1,2,19.2036021998753,1.44154339797074,16.3782290577011,22.0289753420494,0.738830437402567,0.0527771639334865,"específica",3.05721347022015,2.60741406598602,3.50701287445427,3.34526750321827,2.85308750185154,3.83744750458501,12.8011212264369,10.9177274898636,14.6845149630101,0.1592,0.1742,0.6666
"T2016_2to3",2016,"2 → 3",2,3,45.5652238085571,1.94531405435003,41.7524783234115,49.3779692937028,0.756009395698214,0.031014125999969,"específica",9.66894049217582,8.85987590022791,10.4780050841237,18.9186809253129,17.3356289998804,20.5017328507454,16.9821589134492,15.5611486711355,18.403169155763,0.2122,0.4152,0.3727
"T2016_3to4",2016,"3 → 4",3,4,54.356893452954,1.26437161187063,51.8787706306127,56.8350162752953,0.640889325939968,0.0161769254354517,"específica",17.0295988926659,16.2532219698795,17.8059758154523,23.827850266281,22.7415420576762,24.9141584748858,13.4994442940071,12.8840066030571,14.1148819849572,0.313292350075249,0.438359309236538,0.248348340688213
"T2016_4to5",2016,"4 → 5",4,5,64.9770875585443,3.82272977801323,57.4846748710096,72.469500246079,0.671255277717684,0.037471907979871,"específica",7.7022236280606,6.81409151562765,8.59035574049356,35.5816216465652,31.4787570294402,39.6844862636902,21.6932422839185,19.1918263259418,24.1946582418953,0.11853753249745,0.547602593214203,0.333859874288347
"T2017_1to2",2017,"1 → 2",1,2,15.2093903369975,0.456737772617155,14.3142007522889,16.1045799217062,0.687697395092328,0.0235072946437858,"histórica",2.42133494165001,2.27882075976439,2.56384912353563,2.64947579670497,2.49353377104872,2.80541782236122,10.1385795986426,9.54184622147576,10.7353129758094,0.1592,0.1742,0.6666
"T2017_2to3",2017,"2 → 3",2,3,41.2278575402757,1.73718851046768,37.8230306254023,44.6326844551491,0.720008138747102,0.0310520386840975,"específica",8.7485513700465,8.02604709871036,9.47105564138265,17.1178064507225,15.704122315667,18.5314905857779,15.3656225052608,14.0966435140874,16.6346014964341,0.2122,0.4152,0.3727
"T2017_3to4",2017,"3 → 4",3,4,52.9065937416379,1.79518101327575,49.3881036098873,56.4250838733885,0.668868714116262,0.0238989913287217,"específica",16.5752310877942,15.4729150457015,17.6775471298869,23.1920978866425,21.6497349829328,24.7344607903523,13.1392647672012,12.265453581253,14.0130759531493,0.313292350075249,0.438359309236538,0.248348340688213
"T2017_4to5",2017,"4 → 5",4,5,65.5967904658299,1.13508586876908,63.3720630436822,67.8215178879777,0.701245670694809,0.0119248167173412,"histórica",7.77568168157173,7.51196798247093,8.03939538067254,35.9209725656172,34.7027060600543,37.13923907118,21.900136218641,21.1573890011569,22.6428834361251,0.11853753249745,0.547602593214203,0.333859874288347
"T2018_1to2",2018,"1 → 2",1,2,17.0935080104781,0.649063756569155,15.8213664239323,18.3656495970239,0.702733860358281,0.0289092477407207,"específica",2.72128647526812,2.51876153469002,2.92381141584621,2.97768909542529,2.75608203104901,3.19929615980157,11.3945324397847,10.5465228581933,12.2425420213762,0.1592,0.1742,0.6666
"T2018_2to3",2018,"2 → 3",2,3,26.6222865215833,0.979810309614392,24.7018936030581,28.5426794401086,0.587937347615938,0.0272626066370743,"específica",5.64924919987998,5.24174182256892,6.05675657719104,11.0535733637614,10.2562262239897,11.8509205035331,9.9221261865941,9.20639574585974,10.6378566273285,0.2122,0.4152,0.3727
"T2018_3to4",2018,"3 → 4",3,4,53.2667188039644,2.30796698077921,48.7431866441295,57.7902509637992,0.74684534882164,0.0304202089849669,"específica",16.6880555148914,15.2708674938958,18.1052435358871,23.3499620602027,21.3670296273082,25.3328944930972,13.2287012288702,12.1052895229254,14.3521129348149,0.313292350075249,0.438359309236538,0.248348340688213
"T2018_4to5",2018,"4 → 5",4,5,66.0628039545155,1.16363472489936,63.7821218025526,68.3434861064784,0.681023058446028,0.0119257467716964,"histórica",7.83092177063105,7.56057533592639,8.10126820533571,36.1761627604942,34.927255299782,37.4250702212064,22.0557194233903,21.2942911668442,22.8171476799363,0.11853753249745,0.547602593214203,0.333859874288347
"T2019_1to2",2019,"1 → 2",1,2,17.1769007009764,1.66290769806426,13.917661503156,20.4361398987967,0.6974656036326,0.0697381865313337,"específica",2.73456259159544,2.21569171130244,3.25343347188844,2.99221610211009,2.42445663384978,3.55997557037039,11.4501220072709,9.27751315800381,13.6227308565379,0.1592,0.1742,0.6666
"T2019_2to3",2019,"2 → 3",2,3,46.1137097086344,1.22849177417088,43.7059100759557,48.521509341313,0.758186134591595,0.0193559075655793,"específica",9.78532920017221,9.2743941181178,10.2962642822266,19.146412271025,18.1466938635368,20.1461306785132,17.186579608408,16.2891926853087,18.0839665315074,0.2122,0.4152,0.3727
"T2019_3to4",2019,"3 → 4",3,4,58.5016566092559,1.24463826534529,56.0622104353988,60.9411027831131,0.64546115764157,0.0144590555383635,"específica",18.328121482409,17.5638616577192,19.0923813070988,25.6447457804266,24.5753918407348,26.7140997201183,14.5287893464203,13.9229569369447,15.134621755896,0.313292350075249,0.438359309236538,0.248348340688213
"T2019_4to5",2019,"4 → 5",4,5,61.2413894724381,1.12775342747962,59.0310333711364,63.4517455737397,0.606085752668135,0.0119233138482848,"histórica",7.25940319477812,6.99739303658914,7.5214133529671,33.5359436871481,32.3255469541485,34.7463404201477,20.4460425905119,19.7080933803988,21.1839918006249,0.11853753249745,0.547602593214203,0.333859874288347
"T2020_1to2",2020,"1 → 2",1,2,11.8342805740918,2.27955309280274,7.36643861135157,16.3021225368321,0.602607307249671,0.13222808955478,"específica",1.88401746739542,1.17273702692717,2.59529790786367,2.0615316760068,1.28323360609744,2.83982974591615,7.88873143068961,4.91046797832695,10.8669948830523,0.1592,0.1742,0.6666
"T2020_2to3",2020,"2 → 3",2,3,26.4064193598901,1.23812530402801,23.9797383556475,28.8331003641327,0.621598777125753,0.0350848333880187,"específica",5.60344218816869,5.08850047906841,6.11838389726897,10.9639453182264,9.95638736526485,11.9715032711879,9.84167249543105,8.93724848514983,10.7460965057123,0.2122,0.4152,0.3727
"T2020_3to4",2020,"3 → 4",3,4,46.7102092220598,0.576381100776168,45.580523023169,47.8398954209506,0.692271283218463,0.00894360836698854,"específica",14.6339512196857,14.2800291755876,14.9878732637838,20.4758550488763,19.9806465870765,20.9710635106761,11.6004029534978,11.3198472605049,11.8809586464907,0.313292350075249,0.438359309236538,0.248348340688213
"T2020_4to5",2020,"4 → 5",4,5,64.5160464843545,1.30870930712978,61.9510233761478,67.0810695925613,0.704483246714761,0.0139341714383131,"específica",7.64757295674617,7.34352144670041,7.95162446679194,35.3291543587606,33.9245410530523,36.733767664469,21.5393191688478,20.6829608763952,22.3956774613004,0.11853753249745,0.547602593214203,0.333859874288347
"T2021_1to2",2021,"1 → 2",1,2,13.8719699665344,0.603483119820964,12.6891647864075,15.0547751466614,0.64078163639063,0.0324782503490127,"específica",2.20841761867228,2.02011503399607,2.39672020334849,2.4164971681703,2.21045250579218,2.62254183054841,9.24705517969185,8.45859724661922,10.0355131127645,0.1592,0.1742,0.6666
"T2021_2to3",2021,"2 → 3",2,3,31.4535590904553,0.698830597040522,30.0838762889612,32.8232418919493,0.675847076278778,0.0166526487941309,"histórica",6.67444523899461,6.38379854851757,6.96509192947164,13.059517734357,12.4908254351767,13.6282100335374,11.7227414730127,11.2122606928958,12.2332222531295,0.2122,0.4152,0.3727
"T2021_3to4",2021,"3 → 4",3,4,48.5803392720545,0.481074544592161,47.6374504907749,49.5232280533341,0.666402364057313,0.00704120809681824,"histórica",15.2198486579949,14.9244488158482,15.5152485001416,21.2956439657745,20.8823198909258,21.7089680406231,12.0648466482852,11.8306817840008,12.2990115125695,0.313292350075249,0.438359309236538,0.248348340688213
"T2021_4to5",2021,"4 → 5",4,5,62.9674498817958,1.10723662374653,60.7973059768889,65.1375937867027,0.68314742833762,0.01192493974841,"histórica",7.46400613664493,7.20676263299288,7.72124964029697,34.4811388433568,33.2927624133817,35.6695152733318,21.0223049017941,20.2977809305143,21.746828873074,0.11853753249745,0.547602593214203,0.333859874288347
"T2022_1to2",2022,"1 → 2",1,2,11.0070048328713,0.571938765490034,9.88602545114856,12.1279842145941,0.574335435227329,0.0390636665551781,"específica",1.75231516939311,1.57385525182285,1.93077508696338,1.91742024188618,1.72214563359008,2.11269485018229,7.33726942159202,6.59002456573563,8.08451427744842,0.1592,0.1742,0.6666
"T2022_2to3",2022,"2 → 3",2,3,19.5265699154496,1.96021403744042,15.6846210000766,23.3685188308227,0.558419992428345,0.0700796818060285,"específica",4.14353813605841,3.32827657621625,4.95879969590058,8.10743182889469,6.51225463923179,9.70260901855759,7.27755260748808,5.84565824672854,8.70944696824763,0.2122,0.4152,0.3727
"T2022_3to4",2022,"3 → 4",3,4,45.6567499174271,1.31693759601225,43.0755996593564,48.2379001754979,0.727541254619998,0.0203992190671926,"específica",14.3039104784287,13.4952558481804,15.112565108677,20.0140613557887,18.8825901116251,21.1455325999523,11.3387780832097,10.6977536995509,11.9798024668686,0.313292350075249,0.438359309236538,0.248348340688213
"T2022_4to5",2022,"4 → 5",4,5,64.8109022241285,4.07341068428657,56.8271639886862,72.7946404595709,0.692381359508123,0.039439585291325,"específica",7.68252442858169,6.73615179804681,8.62889705911657,35.4906181264849,31.1187023652133,39.8625338877565,21.6377596690619,18.9723098254261,24.3032095126977,0.11853753249745,0.547602593214203,0.333859874288347
"T2023_1to2",2023,"1 → 2",1,2,15.2366030265986,0.459727809289347,14.3355530777,16.1376529754972,0.663757379786196,0.0235083762523354,"histórica",2.42566720183449,2.28222004996983,2.56911435369915,2.65421624723347,2.49725334613533,2.81117914833161,10.1567195775306,9.5560796815948,10.7573594734664,0.1592,0.1742,0.6666
"T2023_2to3",2023,"2 → 3",2,3,31.7438299363381,0.701950263107807,30.3680327017084,33.1196271709678,0.718738615406959,0.0166518526174877,"histórica",6.73604071249095,6.44409653930252,7.02798488567937,13.1800381895676,12.6088071777493,13.7512692013858,11.8309254172732,11.3181657879267,12.3436850466197,0.2122,0.4152,0.3727
"T2023_3to4",2023,"3 → 4",3,4,49.3323913310583,0.49071161512517,48.3706142386175,50.2941684234992,0.653353929874625,0.00704017822735654,"histórica",15.4554608149391,15.1541434093998,15.7567782204784,21.6253129868693,21.2037090449874,22.0469169287512,12.2516175292499,12.0127617842303,12.4904732742695,0.313292350075249,0.438359309236538,0.248348340688213
"T2023_4to5",2023,"4 → 5",4,5,64.5976274903664,1.1181575337904,62.4060789950951,66.7891759856377,0.72612534474569,0.0119293842066876,"histórica",7.65724336789748,7.39746261691952,7.91702411887544,35.3738283292097,34.1737306900445,36.573925968375,21.5665557932592,20.8348856881311,22.2982258983873,0.11853753249745,0.547602593214203,0.333859874288347
"T2024_1to2",2024,"1 → 2",1,2,14.7848395592755,0.449106288878301,13.9046074078436,15.6650717107074,0.656333680613191,0.0235080239495978,"histórica",2.35374645783666,2.2136134993287,2.49387941634462,2.57551905122579,2.42218261044635,2.72885549200523,9.85557405021303,9.26881129806852,10.4423368023575,0.1592,0.1742,0.6666
"T2024_2to3",2024,"2 → 3",2,3,33.5339657284744,2.6829830419719,28.2754155950777,38.792515861871,0.669560539001416,0.0561244667638978,"específica",7.11590752758226,6.00004318927549,8.23177186588903,13.9233025704626,11.7399525550763,16.1066525858488,12.4981090270024,10.5382473922855,14.4579706617193,0.2122,0.4152,0.3727
"T2024_3to4",2024,"3 → 4",3,4,45.0346755298209,1.96060558501862,41.1919591952964,48.8773918643455,0.609483396985438,0.0293719198951901,"específica",14.1090193316139,12.9051257004982,15.3129129627297,19.7413692569439,18.0568787789498,21.4258597349381,11.1842869412631,10.2299547158484,12.1386191666778,0.313292350075249,0.438359309236538,0.248348340688213
"T2024_4to5",2024,"4 → 5",4,5,61.3540870909434,1.09529082333774,59.2073565246042,63.5008176572825,0.665819039810566,0.0119250977705227,"histórica",7.27276209239408,7.01829394812338,7.52723023666478,33.5976571952906,32.4221019702311,34.7732124203502,20.4836678032586,19.7669606062497,21.2003750002676,0.11853753249745,0.547602593214203,0.333859874288347
