"year","edad_consumo","transicion_label","N_mar_total","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2015,1,"1 → 2",128106.214233796,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,2.57171140672219,2.81402089856159,10.768233817343,2069.42344483071,83.9191729504382,1904.94488823547,2233.90200142596,0.0405519581601643,329.45221241705,360.49356408951,1379.47766832415,0.1592,0.1742,0.6666
2015,2,"2 → 3",151825.933669848,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,5.80878879711774,11.365735667122,10.2023354603477,4156.10170882825,158.284816471561,3845.86916924445,4466.33424841205,0.0380849237003362,881.924782613354,1725.61342950549,1548.97910688029,0.2122,0.4152,0.3727
2015,3,"3 → 4",201076.763392473,56.1905645401801,4.00764303883803,48.3357285211649,64.0454005591953,17.604074016848,24.6316570574444,13.9548334658877,11298.6168509353,805.843891081926,9719.19184725308,12878.0418546175,0.0713223487187478,3539.77022582933,4952.85387810429,2805.99274700167,0.313292350075249,0.438359309236538,0.248348340688213
2015,4,"4 → 5",20589.8545218338,67.8569297363694,1.180310334921,65.5435639893438,70.170295483395,8.04359301380207,37.1586306911899,22.6547060313775,1397.16431157014,24.3024180866403,1349.53244738309,1444.79617575719,0.0173941016710691,165.616409987023,765.090800162149,466.457101420973,0.11853753249745,0.547602593214203,0.333859874288347
2016,1,"1 → 2",245085.339275192,19.2036021998753,1.44154339797074,16.3782290577011,22.0289753420494,3.05721347022015,3.34526750321827,12.8011212264369,4706.52136046226,353.301152771572,4014.06382533348,5398.97889559102,0.075066301778533,749.278200585593,819.876020992524,3137.36713888415,0.1592,0.1742,0.6666
2016,2,"2 → 3",85217.3589721068,45.5652238085571,1.94531405435003,41.7524783234115,49.3779692937028,9.66894049217582,18.9186809253129,16.9821589134492,3882.9480339382,165.774526083031,3558.03593326127,4207.86013461514,0.0426929551037276,823.961572801686,1612.20002369114,1447.17473224876,0.2122,0.4152,0.3727
2016,3,"3 → 4",42826.4167012179,54.356893452954,1.26437161187063,51.8787706306127,56.8350162752953,17.0295988926659,23.827850266281,13.4994442940071,2327.91096959991,54.1485055151621,2221.78184897352,2434.0400902263,0.0232605568779413,729.316698431909,1020.46144459798,578.132826570026,0.313292350075249,0.438359309236538,0.248348340688213
2016,4,"4 → 5",1671.44130067412,64.9770875585443,3.82272977801323,57.4846748710096,72.469500246079,7.7022236280606,35.5816216465652,21.6932422839185,108.605387742869,6.38946843228812,96.0822597352292,121.12851575051,0.0588319655689239,12.8738146789685,59.4725919650294,36.2589810988716,0.11853753249745,0.547602593214203,0.333859874288347
2017,1,"1 → 2",213927.910388631,15.2093903369975,0.456737772617155,14.3142007522889,16.1045799217062,2.42133494165001,2.64947579670497,10.1385795986426,3253.71309307891,97.7089572915457,3062.20705582053,3445.21913033731,0.0300299855876616,517.991124418164,566.796820814347,2168.92514784642,0.1592,0.1742,0.6666
2017,2,"2 → 3",197237.753406084,41.2278575402757,1.73718851046768,37.8230306254023,44.6326844551491,8.7485513700465,17.1178064507225,15.3656225052608,8131.68999899006,342.639159047507,7460.12958756386,8803.25041041626,0.0421362790625395,1725.54461778569,3376.27768758068,3030.6808626236,0.2122,0.4152,0.3727
2017,3,"3 → 4",36242.792813299,52.9065937416379,1.79518101327575,49.3881036098873,56.4250838733885,16.5752310877942,23.1920978866425,13.1392647672012,1917.48271543556,65.0623735265212,1789.96280657489,2045.00262429624,0.0339311395105546,600.732666147478,840.546398611334,476.203650676752,0.313292350075249,0.438359309236538,0.248348340688213
2017,4,"4 → 5",4957.17571123527,65.5967904658299,1.13508586876908,63.3720630436822,67.8215178879777,7.77568168157173,35.9209725656172,21.900136218641,325.174816432201,5.62682009882847,314.146451691012,336.203181173391,0.0173039848551791,38.5454203701844,178.066572726226,108.562823335791,0.11853753249745,0.547602593214203,0.333859874288347
2018,1,"1 → 2",161761.170026547,17.0935080104781,0.649063756569155,15.8213664239323,18.3656495970239,2.72128647526812,2.97768909542529,11.3945324397847,2765.06585563309,104.993312684452,2559.28274415402,2970.84896711217,0.0379713605990817,440.198484216789,481.674472051285,1843.19289936502,0.1592,0.1742,0.6666
2018,2,"2 → 3",137269.165280354,26.6222865215833,0.979810309614392,24.7018936030581,28.5426794401086,5.64924919987998,11.0535733637614,9.9221261865941,3654.41904867216,134.497743333853,3390.8083157359,3918.02978160843,0.0368041380976062,775.467722128233,1517.31478900868,1362.00197944011,0.2122,0.4152,0.3727
2018,3,"3 → 4",81665.6343853151,53.2667188039644,2.30796698077921,48.7431866441295,57.7902509637992,16.6880555148914,23.3499620602027,13.2287012288702,4350.06038274995,188.481587625695,3980.64325925465,4719.47750624523,0.0433284991567274,1362.84064028096,1906.88946451949,1080.33027794948,0.313292350075249,0.438359309236538,0.248348340688213
2018,4,"4 → 5",1262.9436312849,66.0628039545155,1.16363472489936,63.7821218025526,68.3434861064784,7.83092177063105,36.1761627604942,22.0557194233903,83.4335975191783,1.4696050649536,80.5532245203716,86.3139705179849,0.0176140680571253,9.89001277730876,45.6884543626921,27.8551303791774,0.11853753249745,0.547602593214203,0.333859874288347
2019,1,"1 → 2",118327.675480921,17.1769007009764,1.66290769806426,13.917661503156,20.4361398987967,2.73456259159544,2.99221610211009,11.4501220072709,2032.50273191314,196.768002451273,1646.84453379875,2418.16093002752,0.0968106951896004,323.574434920571,354.061975899269,1354.8663210933,0.1592,0.1742,0.6666
2019,2,"2 → 3",121064.725860904,46.1137097086344,1.22849177417088,43.7059100759557,48.521509341313,9.78532920017221,19.146412271025,17.186579608408,5582.74362430513,148.727019862373,5291.2440218469,5874.24322676335,0.0266404889550852,1184.65819707755,2317.95515281149,2080.68854877852,0.2122,0.4152,0.3727
2019,3,"3 → 4",60685.9475475238,58.5016566092559,1.24463826534529,56.0622104353988,60.9411027831131,18.328121482409,25.6447457804266,14.5287893464203,3550.22846443255,75.5320524863853,3402.18836188085,3698.26856698426,0.021275265308442,1112.25941892612,1556.27569730055,881.693348205885,0.313292350075249,0.438359309236538,0.248348340688213
2019,4,"4 → 5",16195.6376143706,61.2413894724381,1.12775342747962,59.0310333711364,63.4517455737397,7.25940319477812,33.5359436871481,20.4460425905119,991.843350896138,18.2646858298243,956.045224480743,1027.64147731153,0.0184148896227635,117.570663439231,543.13599101299,331.136696443918,0.11853753249745,0.547602593214203,0.333859874288347
2020,1,"1 → 2",73649.6085626634,11.8342805740918,2.27955309280274,7.36643861135157,16.3021225368321,1.88401746739542,2.0615316760068,7.88873143068961,871.590131902593,167.888192982731,542.535320226933,1200.64494357826,0.192622870357937,138.757148998893,151.831000977432,581.001981926269,0.1592,0.1742,0.6666
2020,2,"2 → 3",95673.0644400444,26.4064193598901,1.23812530402801,23.9797383556475,28.8331003641327,5.60344218816869,10.9639453182264,9.84167249543105,2526.3830610496,118.455241997121,2294.21505295527,2758.55106914394,0.0468872847603357,536.098485554726,1048.9542469478,941.582966853187,0.2122,0.4152,0.3727
2020,3,"3 → 4",88270.4324275204,46.7102092220598,0.576381100776168,45.580523023169,47.8398954209506,14.6339512196857,20.4758550488763,11.6004029534978,4123.13036681117,50.8774090085626,4023.41247752768,4222.84825609466,0.0123395101493992,1291.7452022849,1807.41257948754,1023.97258503874,0.313292350075249,0.438359309236538,0.248348340688213
2020,4,"4 → 5",8700.40937864246,64.5160464843545,1.30870930712978,61.9510233761478,67.0810695925613,7.64757295674617,35.3291543587606,21.5393191688478,561.316015905411,11.3863067296686,538.999264798335,583.632767012488,0.0202850202150429,66.5370154767268,307.378105922468,187.400894506217,0.11853753249745,0.547602593214203,0.333859874288347
2021,1,"1 → 2",13764.0845422653,13.8719699665344,0.603483119820964,12.6891647864075,15.0547751466614,2.20841761867228,2.4164971681703,9.24705517969185,190.934967387145,8.30639268104577,174.654736890849,207.215197883442,0.0435037792957196,30.3968468080335,33.2608713188407,127.277249260271,0.1592,0.1742,0.6666
2021,2,"2 → 3",52285.4951694125,31.4535590904553,0.698830597040522,30.0838762889612,32.8232418919493,6.67444523899461,13.059517734357,11.7227414730127,1644.56491188483,36.5387038057999,1572.95036838368,1716.17945538597,0.0222178544256565,348.976674301961,682.82335141458,612.929342659477,0.2122,0.4152,0.3727
2021,3,"3 → 4",59631.8367012863,48.5803392720545,0.481074544592161,47.6374504907749,49.5232280533341,15.2198486579949,21.2956439657745,12.0648466482852,2896.93485836424,28.6873586842654,2840.7086685315,2953.16104819698,0.00990265921977403,907.587529791843,1269.8983634158,719.448965156604,0.313292350075249,0.438359309236538,0.248348340688213
2021,4,"4 → 5",17064.1990152671,62.9674498817958,1.10723662374653,60.7973059768889,65.1375937867027,7.46400613664493,34.4811388433568,21.0223049017941,1074.48909626682,18.8941061046032,1037.45732878172,1111.52086375192,0.0175842697429396,127.367286166884,588.393015496097,358.72879460384,0.11853753249745,0.547602593214203,0.333859874288347
2022,1,"1 → 2",1393.14406365224,11.0070048328713,0.571938765490034,9.88602545114856,12.1279842145941,1.75231516939311,1.91742024188618,7.33726942159202,15.3343434415062,0.796793095915031,13.7726576703826,16.8960292126298,0.0519613440871759,2.44122747588778,2.67124262751037,10.221873338108,0.1592,0.1742,0.6666
2022,2,"2 → 3",2229.03050184358,19.5265699154496,1.96021403744042,15.6846210000766,23.3685188308227,4.14353813605841,8.10743182889469,7.27755260748808,43.5253199379184,4.36937687959665,34.9614986190271,52.0891412568099,0.100387013486146,9.23607289082629,18.0717128382237,16.2218867408622,0.2122,0.4152,0.3727
2022,3,"3 → 4",20618.5321420531,45.6567499174271,1.31693759601225,43.0755996593564,48.2379001754979,14.3039104784287,20.0140613557887,11.3387780832097,941.375165674151,27.1533201524567,888.155636114651,994.594695233652,0.0288443132372324,294.925637956532,412.660567357352,233.788960360266,0.313292350075249,0.438359309236538,0.248348340688213
2022,4,"4 → 5",3622.17456549581,64.8109022241285,4.07341068428657,56.8271639886862,72.7946404595709,7.68252442858169,35.4906181264849,21.6377596690619,234.756401603074,14.7546045754417,205.837908029079,263.67489517707,0.0628507017260759,27.8274445840088,128.553214291478,78.375742727587,0.11853753249745,0.547602593214203,0.333859874288347
