"year_consumo","edad_consumo","transicion_label","N_mar_total","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2014,1,"1 → 2",208295.005298896,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,3322.70423377709,136.098062031876,3055.95693382891,3589.45153372527,0.0409600290776308,474.149894159991,548.910739419976,2299.64360019713,0.1427,0.1652,0.6921
2014,2,"2 → 3",278558.777574344,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,7490.93893705237,291.557984044239,6919.49578892058,8062.3820851842,0.0389214204646773,1559.61348669431,2496.72994771956,3435.34459653223,0.2082,0.3333,0.4586
2014,3,"3 → 4",35257.1781136408,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,1917.23622649574,139.287878606244,1644.23700094452,2190.23545204697,0.0726503477669152,600.655443048252,840.438347889941,476.142435557549,0.313292350075249,0.438359309236538,0.248348340688213
2015,1,"1 → 2",128106.214233796,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,2483.53695468592,185.694428103565,2119.58256347317,2847.49134589866,0.0747701489817569,354.40072343368,410.280304914113,1718.85592633812,0.1427,0.1652,0.6921
2015,2,"2 → 3",151825.933669848,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,7116.84095480683,302.053035780384,6524.82788325629,7708.85402635737,0.0424420101135424,1481.72628679078,2372.04309023711,3263.78326187441,0.2082,0.3333,0.4586
2015,3,"3 → 4",201076.763392473,55.4429152971871,1.27316123535342,52.9475651293819,57.9382654649923,17.3698412284787,24.3039180517348,13.7691560169736,11148.2819610014,256.003140481628,10646.5250257283,11650.0388962745,0.022963461220049,3492.67145486363,4886.95317959873,2768.65732653905,0.313292350075249,0.438359309236538,0.248348340688213
2015,4,"4 → 5",20589.8545218338,66.3133260763465,3.85023496262124,58.767004217592,73.8596479351011,7.86061804478893,36.3133493240664,22.1393587074912,1365.3817367709,79.2757777552495,1210.00406752421,1520.75940601759,0.0580612554132553,161.848981993906,747.686579783059,455.846174993938,0.11853753249745,0.547602593214203,0.333859874288347
2016,1,"1 → 2",245085.339275192,15.8305445642342,0.476990300062561,14.8956607551366,16.7654283733317,2.25901870931621,2.61520596201148,10.9563198929065,3879.83438543639,116.903329521808,3650.70806990082,4108.96070097193,0.0301310102205973,553.65236680177,640.948640474088,2685.23337816052,0.1427,0.1652,0.6921
2016,2,"2 → 3",85217.3589721068,43.0243949044892,1.83076879120369,39.43615400971,46.6126357992683,8.95767901911464,14.3400308216662,19.7309875031987,3666.42530513354,156.013281274935,3360.64489272475,3972.20571754232,0.042551877725831,763.349748528802,1222.019554201,1681.42264493424,0.2082,0.3333,0.4586
2016,3,"3 → 4",42826.4167012179,53.8104266676216,1.85065365467363,50.1832121566039,57.4376411786393,16.858395029251,23.588301463742,13.3637301746286,2304.50775533789,79.2568645846847,2149.16715522434,2459.84835545144,0.034392101480719,721.984650436444,1010.20242776016,572.320677141284,0.313292350075249,0.438359309236538,0.248348340688213
2016,4,"4 → 5",1671.44130067412,66.5934442266035,1.1660046591548,64.3081170888542,68.8787713643528,7.89382255912814,36.4667427495535,22.2328789179219,111.307033034484,1.94890834408978,107.487242870898,115.126823198069,0.0175093009934601,13.1940610455198,60.9520199326622,37.1609520563016,0.11853753249745,0.547602593214203,0.333859874288347
2017,1,"1 → 2",213927.910388631,16.6538103407775,0.630182248061187,15.4186758308811,17.888944850674,2.37649873562895,2.75120946829645,11.5261021368521,3562.7148462111,134.81357149174,3298.48510146008,3826.94459096215,0.0378401239816069,508.399408554325,588.560492594076,2465.7549450627,0.1427,0.1652,0.6921
2017,2,"2 → 3",197237.753406084,26.6138475920038,0.966839297070038,24.7188773909085,28.5088177930991,5.54100306865519,8.87039540241486,12.2051105056929,5249.25550853875,190.697210858812,4875.49584330324,5623.01517377426,0.036328429917083,1092.89499687777,1749.57686099596,2407.30857621586,0.2082,0.3333,0.4586
2017,3,"3 → 4",36242.792813299,52.418113297839,2.24497314131385,48.0180467946041,56.8181798010739,16.4221939015906,22.9779679367233,13.0179514595251,1899.77881991761,81.3640964320589,1740.30812127613,2059.24951855909,0.0428281943029491,595.186171115171,832.78573120129,471.806917601151,0.313292350075249,0.438359309236538,0.248348340688213
2017,4,"4 → 5",4957.17571123527,65.6367054219331,1.1341892122483,63.4137354142726,67.8596754295936,7.78041310197795,35.9428300990873,21.9134622208678,325.372681883111,5.62237521490234,314.353028954332,336.39233481189,0.0172798010649282,38.5688748525018,178.174924360252,108.628882670358,0.11853753249745,0.547602593214203,0.333859874288347
2018,1,"1 → 2",161761.170026547,17.9327556170978,1.72715236857563,14.5475991788765,21.317912055319,2.55900422655985,2.96249122794455,12.4112601625934,2900.82353042187,279.386187954916,2353.2366642523,3448.41039659143,0.0963127143119541,413.9475177912,479.216047225692,2007.65996540498,0.1427,0.1652,0.6921
2018,2,"2 → 3",137269.165280354,49.0930243967705,1.29819038429576,46.5486179984746,51.6374307950664,10.2211676794076,16.3627050314436,22.5140609883589,6738.95848003274,178.201510427261,6389.68993760467,7088.22702246081,0.0264434795013599,1403.05115554281,2246.09486139491,3090.48635894301,0.2082,0.3333,0.4586
2018,3,"3 → 4",81665.6343853151,61.974504871198,1.29307339573439,59.4401275861917,64.5088821562043,19.4161382758476,27.1671011456148,15.3912654497356,5061.18725602219,105.599659169423,4854.21572727041,5268.15878477396,0.0208646022815639,1585.63124961009,2218.61854946665,1256.93745694544,0.313292350075249,0.438359309236538,0.248348340688213
2018,4,"4 → 5",1262.9436312849,65.2780608299668,1.17273699619943,62.9795385540783,67.5765831058554,7.73790025700271,35.7464353904843,21.7937251824798,82.4425111878349,1.48110072052225,79.539607118135,85.3454152575349,0.0179652548082597,9.77253184909936,45.1457329175493,27.5242464211862,0.11853753249745,0.547602593214203,0.333859874288347
2019,1,"1 → 2",118327.675480921,11.7510479879629,2.28900738698653,7.26467594912314,16.2374200268026,1.6768745478823,1.94127312761147,8.13290031246911,1390.4741928804,270.852923260773,859.612218181895,1921.33616757891,0.194791765749851,198.420667324033,229.706336663843,962.347188892526,0.1427,0.1652,0.6921
2019,2,"2 → 3",121064.725860904,26.2452410691022,1.25352355018152,23.7883800569736,28.7021020812308,5.46425919058707,8.74753884833176,12.0360675542903,3177.3729151842,151.757484962913,2879.9337102725,3474.81212009589,0.0477619369881597,661.529040941349,1059.01839263089,1457.14321890348,0.2082,0.3333,0.4586
2019,3,"3 → 4",60685.9475475238,45.4399547625045,0.57161877849792,44.3196025437618,46.5603069812472,14.235990214858,19.919027181431,11.2849373662155,2757.5667112792,34.6892272091044,2689.57707529783,2825.55634726057,0.0125796511348995,863.924555465935,1208.80503873002,684.837117083245,0.313292350075249,0.438359309236538,0.248348340688213
2019,4,"4 → 5",16195.6376143706,62.3253165357861,1.29477501923447,59.7876041300044,64.8630289415678,7.3878892342746,34.1295049578925,20.807922343619,1009.39824081453,20.9697070036612,968.298370320998,1050.49811130806,0.0207744635920306,119.651576773421,552.749094255892,336.997569785218,0.11853753249745,0.547602593214203,0.333859874288347
2020,1,"1 → 2",73649.6085626634,14.1943404196943,0.614208336892532,12.9905142003807,15.3981666390079,2.02553237789037,2.34490503733349,9.82390300447041,1045.40761571568,45.2362035880595,956.746285885759,1134.06894554559,0.0432713545491929,149.179666762627,172.701338116229,723.526610836819,0.1427,0.1652,0.6921
2020,2,"2 → 3",95673.0644400444,32.7368113248087,0.722486027827038,31.3207647309343,34.1528579186831,6.81580411782518,10.9111792145588,15.0131016735573,3132.03105944,69.1224522973279,2996.55354241415,3267.50857646585,0.0220695296392389,652.088866575408,1043.90595211136,1436.34944385919,0.2082,0.3333,0.4586
2020,3,"3 → 4",88270.4324275204,49.9840549815518,0.489214959216777,49.0252112807887,50.9428986823149,15.6596220514608,21.9109758145542,12.4134571155368,4412.11414770253,43.1832160000767,4327.47659960577,4496.75169579929,0.00978742039631113,1382.28161013398,1934.09131005964,1095.74122750891,0.313292350075249,0.438359309236538,0.248348340688213
2020,4,"4 → 5",8700.40937864246,64.9745837485487,1.12698391567699,62.7657358626659,67.1834316344315,7.70192683260188,35.5802505537187,21.6924063622281,565.305477819263,9.80522142953529,546.087596956934,584.523358681592,0.0173449963148423,67.0099164479874,309.562745612023,188.732815759253,0.11853753249745,0.547602593214203,0.333859874288347
2021,1,"1 → 2",13764.0845422653,11.184380799472,0.577488555681068,10.0525240288531,12.316237570091,1.59601114008466,1.84765970807278,7.7407099513146,153.942762876821,7.9486013025849,138.363790596287,169.521735157357,0.0516334847708628,21.9676322625225,25.431344427251,106.543786187048,0.1427,0.1652,0.6921
2021,2,"2 → 3",52285.4951694125,20.1703872002068,2.00746443910146,16.2358291993231,24.1049452010906,4.19947461508306,6.72279005382894,9.25013957001485,1054.61868252159,104.961272233407,848.898369172614,1260.33899587058,0.0995253298400181,219.571609700996,351.504406884447,483.648127804403,0.2082,0.3333,0.4586
2021,3,"3 → 4",59631.8367012863,46.3439773047693,1.32567088141206,43.7457101218482,48.9422444876904,14.5192135616452,20.3153138785925,11.5094498645316,2763.57648672612,79.0521895200142,2608.63704236786,2918.51593108438,0.0286050304378091,865.807372139128,1211.4394797436,686.32963484339,0.313292350075249,0.438359309236538,0.248348340688213
2021,4,"4 → 5",17064.1990152671,66.1454301098771,4.11203128132399,58.0859968951799,74.2048633245741,7.84071607120736,36.2214090574375,22.0833049812322,1128.71878334538,70.1685201415163,991.191011019537,1266.24655567123,0.0621665211715052,133.795539461286,618.089332769512,376.833911114586,0.11853753249745,0.547602593214203,0.333859874288347
2022,1,"1 → 2",1393.14406365224,14.9008693389869,0.452785118982632,14.0134268130452,15.7883118649285,2.12635405467343,2.46162361480063,10.3128916695128,20.7590576628673,0.630794900620727,19.5227223760191,21.9953929497154,0.0303864901222882,2.96231752849116,3.42939632590567,14.3673438084704,0.1427,0.1652,0.6921
2022,2,"2 → 3",2229.03050184358,31.3602960112423,0.699876472526689,29.9885633314631,32.7320286910216,6.52921362954065,10.4523866605471,14.3818317507557,69.9030563559026,1.56004600478468,66.8454223722992,72.9606903395063,0.0223172789018251,14.5538163332989,23.2986886834224,32.0575416448169,0.2082,0.3333,0.4586
2022,3,"3 → 4",20618.5321420531,47.5577261559641,0.478702470163358,46.6194865551335,48.4959657567946,14.8994717916371,20.8473719865888,11.8108823777381,980.570505349705,9.87014226754341,961.225381983032,999.915628716376,0.0100657140039343,307.205238035483,429.842209382819,243.523057931402,0.313292350075249,0.438359309236538,0.248348340688213
2022,4,"4 → 5",3622.17456549581,62.3269747543969,1.09137829917802,60.1879125944993,64.4660369142943,7.38808579541706,34.1304130027039,20.8084759562759,225.759182699676,3.9531627166167,218.01112615008,233.507239249271,0.0175105290041537,26.7609364558606,123.626313888262,75.3719323555537,0.11853753249745,0.547602593214203,0.333859874288347
