"year_consumo","Rio","poblacion_total","consumo_total_t","consumo_anchoveta_t","consumo_sardina_t","consumo_otros_t","n_edades","consumo_se_total_t","consumo_lower_total_t","consumo_upper_total_t","consumo_cv_total","consumo_ci95_lower_t","consumo_ci95_upper_t","n_casos_con_se"
2014,"Bueno",150161.401245268,3661.45672516327,757.670402698285,1117.65336653131,1786.34839862143,3,100.837990837375,3341.87370371828,3981.03974660827,0.0275404021968548,3463.81426312201,3859.09918720452,3
2014,"Imperial",171077.717072668,4171.4691825376,863.207999607265,1273.33379176751,2035.17284334213,3,114.883939038871,3807.37073066785,4535.56763440736,0.0275404021968548,3946.29666202141,4396.64170305379,3
2014,"Tolten",168408.073080419,4106.37398584821,849.737758773769,1253.4635949617,2003.4142540449,3,113.091191140961,3747.9572397041,4464.79073199233,0.0275404021968548,3884.71525121193,4328.0327204845,3
2014,"Valdivia",32463.7695885257,791.579503776132,163.802662823231,241.628281768954,386.195136278441,3,21.8004179047814,722.488049603771,860.670957948495,0.0275404021968548,748.85068468276,834.308322869504,3
2015,"Bueno",144262.003991932,6360.09531128485,1579.13427605345,2420.75550209763,2360.41021659956,4,127.827357497068,5896.16008510798,6824.03053746172,0.0200983399211426,6109.5536905906,6610.63693197911,4
2015,"Imperial",164356.579644301,7246.00714428589,1799.09540439866,2757.94792440386,2689.19700976471,4,145.632714656885,6717.44934777004,7774.56494080173,0.0200983399211426,6960.56702355839,7531.44726501338,4
2015,"Tolten",161791.81806727,7132.9342101157,1771.02077071742,2714.91053044451,2647.23246427078,4,143.360136390052,6612.62448453609,7653.24393569531,0.0200983399211426,6851.9483427912,7413.9200774402,4
2015,"Valdivia",31188.3641144473,1375.00494157862,341.396995912476,523.349197587018,510.302999110465,4,27.635316709098,1274.70562256783,1475.30426058941,0.0200983399211426,1320.83972082879,1429.17016232846,4
2016,"Bueno",107794.283053366,2865.13629256156,590.216202280777,843.866534750852,1431.15900352901,4,60.5282412736898,2665.51954666255,3064.75303846055,0.0211257807982234,2746.50093966512,2983.77164545799,4
2016,"Imperial",122809.188681808,3264.22750432961,672.42873087319,961.410582759518,1630.5083267825,4,68.9593547319991,3036.80569756252,3491.64931109669,0.0211257807982234,3129.06716905489,3399.38783960433,4
2016,"Tolten",120892.768364963,3213.28968790686,661.935574006773,946.407904267734,1605.06447101103,4,67.8832535879119,2989.41676681893,3437.16260899478,0.0211257807982234,3080.23851087455,3346.34086493917,4
2016,"Valdivia",23304.3161490547,619.420994144274,127.600319651796,182.437620589815,309.405850969801,4,13.0857521441095,576.265349676812,662.576638611734,0.0211257807982234,593.772919941819,645.069068346728,4
2017,"Bueno",130102.338966155,3174.3246312273,642.810020383943,963.21526943499,1568.450312298,4,71.1446590459846,2941.80230753516,3406.84695491945,0.0224125341013019,3034.88109949717,3313.76816295743,4
2017,"Imperial",148224.583358739,3616.48337491801,732.348458969814,1097.38366835909,1786.92324755001,4,81.0545569671415,3351.57249918164,3881.39425065439,0.0224125341013019,3457.61644326242,3775.35030657361,4
2017,"Tolten",145911.559341126,3560.0486546042,720.920263076297,1080.25914876906,1759.03855868426,4,79.7897118736108,3299.27167625665,3820.82563295176,0.0224125341013019,3403.66081933192,3716.43648987648,4
2017,"Valdivia",28127.1506532286,686.26519580106,138.970708969709,208.239922588447,339.087203017813,4,15.3809421034279,635.995612020332,736.534779581788,0.0224125341013019,656.118549278341,716.411842323778,4
2018,"Bueno",109853.057929228,4251.77403577955,981.421905519845,1434.87989637918,1835.66604928068,4,100.029243811268,3933.47368163007,4570.07438992902,0.0235264722371182,4055.71671790946,4447.83135364963,4
2018,"Imperial",125154.734892807,4844.01310535139,1118.1263473108,1634.74751108019,2091.36005933907,4,113.962539839286,4481.37598635987,5206.65022434291,0.0235264722371182,4620.64652726639,5067.37968343639,4
2018,"Tolten",123201.71265341,4768.42295424137,1100.67814109931,1609.23750342708,2058.72467634717,4,112.184170247797,4411.44473707907,5125.40117140367,0.0235264722371182,4548.54198055569,4988.30392792706,4
2018,"Valdivia",23749.4078480559,919.201682292325,212.176060863258,310.210280118368,396.857242747694,4,21.6255728587628,850.387531176508,988.015833408142,0.0235264722371182,876.81555948915,961.5878050955,4
2019,"Bueno",90961.7850218223,2397.12848721594,530.206113502775,877.273572811269,989.74018353985,4,90.0503569944289,2127.53081650099,2666.72615793088,0.037565928349137,2220.62978750685,2573.62718692502,4
2019,"Imperial",103632.05453158,2731.02985002733,604.059703251368,999.470961512912,1127.60329679207,4,102.593671665481,2423.87931965444,3038.18038040023,0.037565928349137,2529.94625356299,2932.11344649168,4
2019,"Tolten",102014.890727207,2688.41250887657,594.633435556551,983.874356101715,1110.00720410138,4,100.992711681381,2386.05501983107,2990.76999792206,0.037565928349137,2490.46679398106,2886.35822377208,4
2019,"Valdivia",19665.2562231102,518.241214038495,114.626588194043,189.659971854753,213.974410231174,4,19.4682123141399,459.956218086721,576.526209990269,0.0375659283491371,480.083517902781,556.39891017421,4
2020,"Bueno",76587.1822546021,2632.97738096356,647.270939390822,995.186332408996,990.610187750059,4,26.9569243754527,2538.64478935566,2727.30997257147,0.0102381906393695,2580.14180918768,2685.81295273945,4
2020,"Imperial",87255.181348133,2999.73066116691,737.430749314829,1133.80805185991,1128.59448582528,4,30.7118143757887,2892.25827289671,3107.20304943711,0.0102381906393695,2939.53550499036,3059.92581734346,4
2020,"Tolten",85893.5763731277,2952.92028121223,725.923244987001,1116.11513482895,1110.98292576752,4,30.2325607819113,2847.12498462052,3058.71557780393,0.0102381906393695,2893.66446207968,3012.17610034477,4
2020,"Valdivia",16557.5748330078,569.229977334769,139.935126227349,215.151826801388,214.162498621313,4,5.82788502559734,548.835977989721,589.623976679818,0.0102381906393695,557.807322684598,580.65263198494,4
2021,"Bueno",41054.2647750695,1467.02875285077,356.957924368136,634.588881405018,475.512278373255,4,42.9031315854651,1319.26725450093,1614.7902512006,0.0292449152766056,1382.93861494326,1551.11889075828,4
2021,"Imperial",46772.8046992839,1671.37445333064,406.679388214773,722.982179242879,541.747442082309,4,48.8792042831374,1503.03092696971,1839.71797969156,0.0292449152766056,1575.57121293569,1767.17769372559,4
2021,"Tolten",46042.9215841552,1645.29288733547,400.333212896932,711.700142842433,533.293548560587,4,48.1164510953276,1479.57633830083,1811.00943637011,0.0292449152766056,1550.98464318863,1739.60113148231,4
2021,"Valdivia",8875.62436972255,317.160621953043,77.1716280840898,137.193360334482,102.802190933276,4,9.27533551809228,285.21569338482,349.105550521267,0.0292449152766056,298.980964337582,335.340279568504,4
2022,"Bueno",8013.48680131631,373.020528115427,101.087852734343,166.867088046687,105.067597776942,4,3.0959760264621,363.993446412213,382.04760981864,0.0082997470463719,366.952415103561,379.088641127293,4
2022,"Imperial",9129.70321528847,424.979387792167,115.16860475564,190.110376174254,119.702697343835,4,3.52722141859698,414.69490378491,435.263871799424,0.0082997470463719,418.066033811717,431.892741772617,4
2022,"Tolten",8987.23546579562,418.347643524926,113.371414688794,187.143730182583,117.834753392465,4,3.47217961870265,408.223647460887,428.471639588965,0.0082997470463719,411.542171472269,425.153115577584,4
2022,"Valdivia",1732.45579064429,80.6442426356292,21.8544361743558,36.0754138768841,22.7148272270004,4,0.669326814621962,78.6926552234201,82.595830047838,0.0082997470463719,79.3323620789701,81.9561231922882,4
